feature,ks_statistic,p_value
SIG_33,0.06482212045766866,0.0
SIG_6,0.06008477147925362,0.0
SIG_21,0.05466410912628605,0.0
SIG_11,0.04710746484214745,1.260345681034893e-250
SIG_38,0.04679917085975349,2.323499580161869e-247
SIG_15,0.04447098882245015,2.158350996801743e-223
SIG_1,0.041543272051096036,5.4400916248691054e-195
SIG_13,0.041543272051096036,5.4400916248691054e-195
SIG_30,0.038952768502221735,1.7833430092654347e-171
SIG_8,0.03449584172199138,1.4559362454027342e-134
SIG_9,0.031067181280669653,3.2165098978372723e-109
SIG_29,0.02949600089706883,1.7177042387126617e-98
SIG_24,0.026000927103719262,1.2611014277198928e-76
SIG_20,0.02325445840146101,2.2370474055674306e-61
SIG_17,0.023075619619967402,1.9214282618370045e-60
SIG_26,0.020747648623663406,6.066330480558117e-49
SIG_2,0.020626870715470758,2.2190931233272685e-48
SIG_27,0.020369603074187705,3.4275266281212343e-47
SIG_35,0.02036701673574463,3.5225425351163843e-47
SIG_16,0.019124922654906062,1.1905229392832098e-41
SIG_36,0.01861993793129685,1.6752831301879923e-39
SIG_5,0.01823752737521178,6.497033444252163e-38
SIG_14,0.018190913012300775,1.0095038118373493e-37
SIG_10,0.017762284212438806,5.508594224222911e-36
SIG_37,0.017743566563385826,6.545553404670315e-36
SIG_23,0.01765222051614468,1.514844028240872e-35
SIG_34,0.015603046508933682,7.261109745335834e-28
SIG_18,0.015122272686409477,3.356675966797532e-26
SIG_22,0.014960235428330249,1.1893207606489456e-25
SIG_7,0.013673141424381918,1.6942237951813755e-21
SIG_32,0.01175870771681048,5.204043833798568e-16
SIG_25,0.011664844397644647,9.207389039043634e-16
SIG_4,0.011407093767601961,4.308973161468628e-15
SIG_28,0.011276093577562984,9.317043189950564e-15
SIG_19,0.009697437730204012,5.022931089850285e-11
SIG_31,0.00907014763419721,1.0661392154975573e-09
SIG_0,0.0,1.0
SIG_3,0.0,1.0
SIG_12,0.0,1.0
SIG_39,0.0,1.0
