model_name,model_type,transform,accuracy,roc_auc,pr_auc
标准Ridge,ridge,standard,0.5006017956558036,0.501042158914444,0.4981966978794378
分位数Ridge,ridge,quantile,0.4999154925249297,0.49957481663495534,0.49771714026882813
PCA(5)Ridge,ridge,pca_5,0.5004225373753515,0.5003510020767554,0.49829442420990644
PCA(10)Ridge,ridge,pca_10,0.5005608223345575,0.5011782228229257,0.49832011498194945
PCA(auto)Ridge,ridge,pca,0.5008322705878135,0.5011461609696126,0.49838868925130464
标准逻辑回归,logistic,standard,0.5006325256467382,0.5008766437924889,0.4981557549458792
PCA(10)逻辑回归,logistic,pca_10,0.5008117839271904,0.5010519013998893,0.498258773971939
标准随机森林,rf,standard,0.5004379023708188,0.5007259857772153,0.49920434331958397
PCA(10)随机森林,rf,pca_10,0.4993930826790406,0.5004320165355309,0.4987441968715309
