Sector,Accuracy,ROC_AUC,Train_Samples,Test_Samples
9.0,0.5116140559857058,0.49464319174850313,5555,3358
1.0,0.5083586626139818,0.5011548109865513,21264,11844
3.0,0.5076523140011716,0.5055190267484659,55473,27312
7.0,0.5050865564377109,0.5017746490381361,87903,41187
2.0,0.5037053182214473,0.5053019708495411,18967,9176
8.0,0.5020271168416856,0.49240321497994544,70843,30092
11.0,0.5002553626149132,0.5025774170686518,3054,3916
4.0,0.4969052985581911,0.5070766110019606,63519,27951
10.0,0.49677306820163963,0.5018059436644402,13295,5733
5.0,0.4966779491036731,0.5016883934111294,17295,7977
6.0,0.49570490146538654,0.5055972348491529,55123,27706
0.0,0.48644924207625173,0.4916492243445826,6304,2177
