Feature,Importance
SIG_31,0.04320515695464226
SIG_15,0.040997110626086554
SIG_10,0.03688054870095739
SIG_37,0.035644936234027765
SIG_19,0.03456398467908114
SIG_33,0.034474189525307175
SIG_38,0.030328243224670683
SIG_11,0.029762215571204932
SIG_6,0.029518470698170866
SIG_21,0.02945982113231071
SIG_36,0.02827471997321092
SIG_34,0.027649653224203173
SIG_27,0.027594065860544293
SIG_32,0.027383431981808766
SIG_13,0.027093713803516745
SIG_1,0.02694946168630636
SIG_8,0.026241596652993547
SIG_35,0.026193318999984366
SIG_28,0.02596872159099772
SIG_29,0.025750317353815406
SIG_20,0.02565866870090037
SIG_4,0.025469198373127874
SIG_25,0.025397176965061597
SIG_22,0.025181200245873874
SIG_9,0.02455522767017315
SIG_30,0.024517707953362836
SIG_17,0.0242195598862415
SIG_14,0.024208327323569055
SIG_16,0.024175434169807306
SIG_2,0.02415505923621801
SIG_24,0.024035361365691087
SIG_23,0.023496062277892884
SIG_18,0.02334388797742055
SIG_7,0.023142114351758714
SIG_5,0.02281909801832789
SIG_26,0.02169223701073245
